task_index,observation.state,action,episode_index,frame_index,__file__
0,"[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.2199587e-01
 -2.0981156e-03 -2.8610667e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.2275881e-01  9.5368887e-04
 -5.7221332e-04  1.1596829e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]","[ 1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2428474e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -1.9073777e-04
  1.0465782e+00  5.2281225e-01  6.2504768e-01 -9.5368887e-04
 -5.7221332e-04 -2.8371811e-05  0.0000000e+00 -0.0000000e+00]",0,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000000.parquet
1,"[ 0.00153398 -0.96334     1.1734953  -0.00153398 -0.2960583  -0.00153398
 -0.05488478 -0.00306796 -0.96334     1.1719613  -0.00153398 -0.29145637
  0.00153398 -0.05488478]","[ 0.00613592 -0.960272    1.1581556  -0.00153398 -0.33133987  0.0076699
 -0.13139151 -0.00306796 -0.96487397  1.1520196  -0.00306796 -0.30526218
 -0.00613592 -0.12796737]",62,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000062.parquet
2,"[ 0.00306796 -0.96334     1.1734953  -0.00153398 -0.29145637  0.00153398
  0.0156912  -0.0076699  -0.96334     1.1734953  -0.00306796 -0.2899224
  0.00153398  0.00444132]","[ 0.0076699  -0.9372623   1.1458837  -0.00306796 -0.29759228  0.
  0.21642505 -0.0076699  -0.95567006  1.1612235  -0.00306796 -0.29912627
  0.00153398  0.11596285]",124,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000124.parquet
3,"[ 0.00153398 -0.96334     1.1734953   0.         -0.2960583  -0.00153398
  0.00826021  0.00306796 -0.960272    1.1719613   0.00153398 -0.2899224
  0.00153398  0.00444132]","[ 0.02300971 -0.96947587  1.1596895   0.00153398 -0.29759228 -0.00920388
  0.13296413  0.01073787 -0.9526021   1.1688933   0.00153398 -0.30526218
  0.00306796  0.13605529]",195,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000195.parquet
4,"[ 0.00153398 -0.96334     1.1734953  -0.00153398 -0.2960583  -0.00153398
 -0.05197715 -0.00613592 -0.96334     1.1734953   0.00153398 -0.2960583
 -0.00153398 -0.02315097]","[ 0.00613592 -0.958738    1.1596895   0.00153398 -0.33287385  0.00920388
 -0.1736424  -0.00613592 -0.96487397  1.1520196  -0.00153398 -0.30679616
 -0.00153398 -0.1657314 ]",225,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000225.parquet
5,"[-0.00153398 -0.96487397  1.1873012  -0.00153398 -0.2960583   0.00153398
  0.99669766  0.00460194 -0.96334     1.1873012   0.00153398 -0.29759228
  0.          0.9969291 ]","[-0.01227185 -0.95567006  1.1780972  -0.00153398 -0.30833015  0.01687379
  0.00622718  0.00613592 -0.958738    1.1750293   0.         -0.29912627
 -0.00153398  0.06186777]",259,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000259.parquet
6,"[ 0.00153398 -0.96334     1.1688933  -0.00153398 -0.29759228 -0.00153398
  0.15239617 -0.00153398 -0.96334     1.1704273   0.00153398 -0.2960583
  0.00153398  0.12826541]","[-0.02147573 -0.958738    1.1627575  -0.00306796 -0.30219424 -0.00920388
  0.0426496  -0.01840777 -0.93266034  1.1596895   0.00613592 -0.29912627
  0.00306796 -0.03314703]",265,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000265.parquet
7,"[ 0.00306796 -0.96334     1.1734953  -0.00153398 -0.2960583   0.00153398
  0.00955078  0.00613592 -0.96334     1.1719613  -0.00153398 -0.2960583
  0.00153398  0.00528313]","[ 0.02454369 -0.9664079   1.1688933  -0.00306796 -0.30679616  0.00613592
  0.20251492  0.0076699  -0.95720404  1.1673595  -0.00306796 -0.3037282
  0.00153398  0.15923887]",321,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000321.parquet
8,"[-0.00153398 -0.96334     1.1734953  -0.00306796 -0.2960583   0.
 -0.05546266 -0.0076699  -0.96334     1.1719613  -0.00153398 -0.2960583
  0.00153398 -0.04246913]","[-0.01380583 -0.95567006  1.1581556  -0.00306796 -0.3267379  -0.00460194
 -0.13814476 -0.0076699  -0.95567006  1.1550876   0.         -0.30219424
  0.00613592 -0.09756236]",379,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000379.parquet
9,"[ 0.00306796 -0.96334     1.1734953  -0.00153398 -0.2899224   0.00153398
  0.00783198 -0.00613592 -0.96334     1.1719613  -0.00153398 -0.2899224
  0.00153398  0.00444132]","[ 0.01227185 -0.9541361   1.1581556  -0.00306796 -0.30526218  0.00460194
  0.18860476 -0.00920388 -0.95567006  1.1596895  -0.00153398 -0.3037282
  0.00306796  0.17314902]",430,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000430.parquet
10,"[-0.00306796 -0.96334     1.1734953  -0.00306796 -0.2960583  -0.00153398
  0.00612886 -0.00460194 -0.961806    1.1734953  -0.00153398 -0.29759228
  0.00153398  0.00276931]","[-0.01533981 -0.96947587  1.2118448  -0.00153398 -0.30986413  0.01687379
  0.19478703 -0.00613592 -0.95567006  1.1734953  -0.00306796 -0.29759228
  0.00920388  0.2195162 ]",535,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000535.parquet
11,"[-0.00306796 -0.96334     1.1734953  -0.00306796 -0.29759228 -0.00153398
  0.00570552  0.00460194 -0.96334     1.1734953  -0.00153398 -0.2960583
  0.00153398  0.00276931]","[-0.01533981 -0.9541361   1.2133788  -0.00460194 -0.30526218  0.00460194
  0.03250193  0.0076699  -0.961806    1.1842332  -0.00306796 -0.30219424
 -0.00153398  0.11441727]",587,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000587.parquet
12,"[ 0.00306796 -0.96334     1.1873012  -0.00153398 -0.2960583  -0.00153398
 -0.04666727 -0.00460194 -0.96334     1.1719613  -0.00153398 -0.29299033
 -0.00153398 -0.01071702]","[ 0.00460194 -0.94033027  1.1658255  -0.01227185 -0.29759228 -0.00920388
 -0.14849034 -0.01073787 -0.95567006  1.1627575  -0.00306796 -0.30066025
  0.00153398 -0.15033996]",670,0,/mnt/newssd/lerobot/lerobot/datasets/Task_PicupBrick_50fps_with_mountingpoints_cotraining/data/chunk-000/episode_000670.parquet
